"analysis","classification","formula","observations","events","predictor_parameters","aic","converged","apparent_auc","apparent_brier","apparent_log_loss","apparent_calibration_intercept","apparent_calibration_slope","performance_note"
"dcaps_sensitivity","Sensitivity","capsule ~ age + factor(dpros) + log2(psa) + gleason + factor(dcaps)",380,153,7,395.271502545747,TRUE,0.82488266966111,0.165372157560482,0.499041450718088,-5.46711139155289e-15,1.00000000000001,"Apparent full-data performance; cross-validated performance is primary."
"zero_gleason_exclusion","Data-quality sensitivity","capsule ~ age + factor(dpros) + log2(psa) + gleason",378,153,6,394.824054082342,TRUE,0.821989832970225,0.167254901996532,0.503735521272939,-4.20390639234254e-10,1.00000000073943,"Apparent full-data performance; cross-validated performance is primary."
"volume_exploratory","Exploratory","capsule ~ age + factor(dpros) + log2(psa) + gleason + vol_positive +      log2_vol_positive",380,153,8,394.086454794353,TRUE,0.830612421179926,0.16319912420029,0.494850598413622,-3.73919607643658e-15,1.00000000000001,"Apparent full-data performance; cross-validated performance is primary."
