"model_a","model_b","metric","repeat_id","model_a_estimate","model_b_estimate","raw_difference_a_minus_b","interpretation"
"primary_modern","historical_benchmark","log_loss",1,0.515776618601731,0.516932626626509,-0.001156008024778,"Raw paired difference; preferred direction depends on the metric."
"primary_modern","historical_benchmark","log_loss",2,0.526734350396397,0.528130387747119,-0.00139603735072169,"Raw paired difference; preferred direction depends on the metric."
"primary_modern","historical_benchmark","log_loss",3,0.520233354307193,0.518121011637426,0.00211234266976756,"Raw paired difference; preferred direction depends on the metric."
"primary_modern","historical_benchmark","log_loss",4,0.515760608219285,0.51387151991345,0.0018890883058349,"Raw paired difference; preferred direction depends on the metric."
"primary_modern","historical_benchmark","log_loss",5,0.517920060474541,0.517546784759543,0.000373275714998234,"Raw paired difference; preferred direction depends on the metric."
"primary_modern","historical_benchmark","log_loss",6,0.51396916774392,0.513234740562091,0.000734427181828479,"Raw paired difference; preferred direction depends on the metric."
"primary_modern","historical_benchmark","log_loss",7,0.516944725521782,0.519278966864268,-0.0023342413424855,"Raw paired difference; preferred direction depends on the metric."
"primary_modern","historical_benchmark","log_loss",8,0.52167142156058,0.520147532200547,0.00152388936003323,"Raw paired difference; preferred direction depends on the metric."
"primary_modern","historical_benchmark","log_loss",9,0.519177356963561,0.521423887638301,-0.00224653067474001,"Raw paired difference; preferred direction depends on the metric."
"primary_modern","historical_benchmark","log_loss",10,0.522252934239245,0.522184507064656,6.84271745888809e-05,"Raw paired difference; preferred direction depends on the metric."
"primary_modern","historical_benchmark","log_loss",11,0.521739063981714,0.519517395018543,0.00222166896317133,"Raw paired difference; preferred direction depends on the metric."
"primary_modern","historical_benchmark","log_loss",12,0.516671511101402,0.516549428083378,0.000122083018023744,"Raw paired difference; preferred direction depends on the metric."
"primary_modern","historical_benchmark","log_loss",13,0.518319031813323,0.517924780693535,0.000394251119787858,"Raw paired difference; preferred direction depends on the metric."
"primary_modern","historical_benchmark","log_loss",14,0.519041472981528,0.516906003317425,0.00213546966410261,"Raw paired difference; preferred direction depends on the metric."
