"analysis","classification","term","estimate","std_error","z_value","p_value","wald_ci_lower","wald_ci_upper"
"dcaps_sensitivity","Sensitivity","(Intercept)",-7.67983406951055,1.59940290783163,-4.80168819995607,1.57333542521731e-06,-10.8146061656292,-4.54506197339193
"dcaps_sensitivity","Sensitivity","age",-0.0117182007007564,0.0192953411243763,-0.607307257499197,0.54364702287377,-0.0495363743739485,0.0260999729724357
"dcaps_sensitivity","Sensitivity","factor(dpros)2",0.750281040908057,0.355628429917946,2.1097330184799,0.034881358762942,0.0532621263903565,1.44729995542576
"dcaps_sensitivity","Sensitivity","factor(dpros)3",1.4864995445695,0.373185521909635,3.98327227959676,6.79728025322212e-05,0.75506936207483,2.21792972706417
"dcaps_sensitivity","Sensitivity","factor(dpros)4",1.40737143941086,0.450086941712029,3.12688796092936,0.0017666723928246,0.525217243743505,2.28952563507822
"dcaps_sensitivity","Sensitivity","log2(psa)",0.334996855696185,0.107119351606094,3.12732340770748,0.00176405759621428,0.125046784500959,0.544946926891411
"dcaps_sensitivity","Sensitivity","gleason",0.932298493478387,0.16668800102381,5.59307501291118,2.23082849954954e-08,0.605596014816743,1.25900097214003
"dcaps_sensitivity","Sensitivity","factor(dcaps)2",0.554954121049563,0.452070277621505,1.22758373757586,0.219603269676272,-0.331087341569609,1.44099558366874
"zero_gleason_exclusion","Data-quality sensitivity","(Intercept)",-7.89073723625714,1.59023992852554,-4.96197906662636,6.9778517421703e-07,-11.0075502229447,-4.77392424956953
"zero_gleason_exclusion","Data-quality sensitivity","age",-0.0117915088385057,0.0192808546701053,-0.611565671763933,0.540825156155321,-0.049581289583063,0.0259982719060516
"zero_gleason_exclusion","Data-quality sensitivity","factor(dpros)2",0.767691330599332,0.356292450103329,2.15466628713769,0.0311879577542403,0.0693709604332732,1.46601170076539
"zero_gleason_exclusion","Data-quality sensitivity","factor(dpros)3",1.52685287575227,0.373034611231483,4.09305954402391,4.25718341620752e-05,0.795718472751666,2.25798727875288
"zero_gleason_exclusion","Data-quality sensitivity","factor(dpros)4",1.4841165422824,0.443357384273701,3.34744969842703,0.000815587876846759,0.615152036826061,2.35308104773874
"zero_gleason_exclusion","Data-quality sensitivity","log2(psa)",0.349291963348155,0.106174137049403,3.2898027057722,0.00100257653079322,0.141194478641705,0.557389448054605
"zero_gleason_exclusion","Data-quality sensitivity","gleason",0.962019287788338,0.164911183405679,5.83356002862334,5.42570745699209e-09,0.638799307665329,1.28523926791135
"volume_exploratory","Exploratory","(Intercept)",-7.82988460759669,1.60428557627853,-4.88060525094273,1.0576075102126e-06,-10.9742265580197,-4.68554265717368
"volume_exploratory","Exploratory","age",-0.00750502508204019,0.019558501015039,-0.383721895469872,0.70118458245462,-0.0458389826631067,0.0308289324990264
"volume_exploratory","Exploratory","factor(dpros)2",0.771641324422555,0.359064757864403,2.14903108010939,0.031631936298657,0.0678873308907297,1.47539531795438
"volume_exploratory","Exploratory","factor(dpros)3",1.59234757379421,0.378891894931784,4.20264353789066,2.63815855686319e-05,0.84973310569378,2.33496204189464
"volume_exploratory","Exploratory","factor(dpros)4",1.50221009216274,0.450850638438495,3.33194624580235,0.000862409123419116,0.618559078416398,2.38586110590908
"volume_exploratory","Exploratory","log2(psa)",0.356461360362045,0.107766889631293,3.30770760464203,0.000940629635710761,0.145242137958808,0.567680582765282
"volume_exploratory","Exploratory","gleason",0.949729648911812,0.16633702008379,5.7096709345484,1.13194818767502e-08,0.623715080251867,1.27574421757176
"volume_exploratory","Exploratory","vol_positive",-0.54616183902957,1.06471719625875,-0.512964232144177,0.60797634087831,-2.63296919741718,1.54064551935804
"volume_exploratory","Exploratory","log2_vol_positive",-0.00296166967087335,0.225020907918977,-0.0131617532711216,0.98949874346459,-0.443994544960572,0.438071205618825
