"repeat_id","fold","model","analysis_observations","analysis_events","assessment_observations","assessment_events","converged","iterations","minimum_prediction","maximum_prediction"
3,1,"primary_modern",341,137,39,16,TRUE,5,0.0247000758077862,0.949414082958273
3,1,"nonlinear_psa",341,137,39,16,TRUE,6,0.00496691967612884,0.935582935949453
3,2,"historical_benchmark",341,137,39,16,TRUE,5,0.025886860775619,0.845963896373434
3,2,"primary_modern",341,137,39,16,TRUE,5,0.0347852678561757,0.881599469141324
3,2,"nonlinear_psa",341,137,39,16,TRUE,6,0.024300453746066,0.83723695696435
3,3,"historical_benchmark",341,137,39,16,TRUE,5,0.041979266372388,0.973709676800463
3,3,"primary_modern",341,137,39,16,TRUE,5,0.0204032477098493,0.956904118310615
3,3,"nonlinear_psa",341,137,39,16,TRUE,5,0.00610343442704313,0.951407531814225
3,4,"historical_benchmark",342,138,38,15,TRUE,5,0.0607506799293406,0.989964469028119
3,4,"primary_modern",342,138,38,15,TRUE,5,0.0696100711051877,0.950457575027694
3,4,"nonlinear_psa",342,138,38,15,TRUE,5,0.0609568590091243,0.970414195880056
3,5,"historical_benchmark",342,138,38,15,TRUE,5,0.000390487394918054,0.976510043157106
3,5,"primary_modern",342,138,38,15,TRUE,5,0.000565411938705323,0.962589457496619
3,5,"nonlinear_psa",342,138,38,15,TRUE,6,0.000597058476640077,0.966468303631211
3,6,"historical_benchmark",342,138,38,15,TRUE,5,0.000172075985379822,0.987372073754779
3,6,"primary_modern",342,138,38,15,TRUE,5,8.73495096028417e-05,0.976276684503639
3,6,"nonlinear_psa",342,138,38,15,TRUE,5,1.30452356310715e-05,0.980905732045338
3,7,"historical_benchmark",342,138,38,15,TRUE,5,0.037726027320921,0.998170853994005
3,7,"primary_modern",342,138,38,15,TRUE,5,0.0180211516997153,0.978961449498486
3,7,"nonlinear_psa",342,138,38,15,TRUE,5,0.0109583944036448,0.99264301499048
3,8,"historical_benchmark",343,138,37,15,TRUE,5,0.0442403796462257,0.984224571849738
3,8,"primary_modern",343,138,37,15,TRUE,5,0.0435338136476529,0.958374765629868
3,8,"nonlinear_psa",343,138,37,15,TRUE,6,0.048055230587845,0.977712312808981
3,9,"historical_benchmark",343,138,37,15,TRUE,5,0.0523403376469024,0.845940547993852
3,9,"primary_modern",343,138,37,15,TRUE,5,0.0612106179968276,0.849132202723778
3,9,"nonlinear_psa",343,138,37,15,TRUE,5,0.0582031812768177,0.839330809975225
3,10,"historical_benchmark",343,138,37,15,TRUE,5,0.0402934065360496,0.945350735330019
3,10,"primary_modern",343,138,37,15,TRUE,5,0.0399329967480987,0.927749409449129
3,10,"nonlinear_psa",343,138,37,15,TRUE,5,0.00712111157192707,0.942309300138626
4,1,"historical_benchmark",341,137,39,16,TRUE,5,0.0829062563782337,0.960279193458252
4,1,"primary_modern",341,137,39,16,TRUE,5,0.0658397835975178,0.936572510495728
4,1,"nonlinear_psa",341,137,39,16,TRUE,6,0.0601053843296766,0.950911983455431
4,2,"historical_benchmark",341,137,39,16,TRUE,5,0.0503759008161173,0.925521947867647
4,2,"primary_modern",341,137,39,16,TRUE,5,0.0512798988486473,0.937394525329265
4,2,"nonlinear_psa",341,137,39,16,TRUE,5,0.0279372685675094,0.914911674404399
4,3,"historical_benchmark",341,137,39,16,TRUE,5,0.0416992463993242,0.998249369609498
4,3,"primary_modern",341,137,39,16,TRUE,5,0.0162855213204967,0.984801502456413
4,3,"nonlinear_psa",341,137,39,16,TRUE,6,0.00778790306561123,0.992724932093816
4,4,"historical_benchmark",342,138,38,15,TRUE,5,0.000440342202495756,0.966355493438622
4,4,"primary_modern",342,138,38,15,TRUE,5,0.00059866644037359,0.946061911077487
4,4,"nonlinear_psa",342,138,38,15,TRUE,5,0.000603407729575804,0.961561800746098
4,5,"historical_benchmark",342,138,38,15,TRUE,5,0.0447524792904712,0.957791594976925
4,5,"primary_modern",342,138,38,15,TRUE,5,0.0493592543218622,0.960720497809945
4,5,"nonlinear_psa",342,138,38,15,TRUE,6,0.0489476187139881,0.951934564975445
4,6,"historical_benchmark",342,138,38,15,TRUE,5,0.0452667802439739,0.963907314684709
4,6,"primary_modern",342,138,38,15,TRUE,5,0.0451059844762306,0.961718994004507
4,6,"nonlinear_psa",342,138,38,15,TRUE,5,0.0150822990872821,0.961801778715344
4,7,"historical_benchmark",342,138,38,15,TRUE,5,0.000507988133905667,0.829515334915617
4,7,"primary_modern",342,138,38,15,TRUE,4,0.000228018288509641,0.8376528494692
4,7,"nonlinear_psa",342,138,38,15,TRUE,6,1.2269566306154e-05,0.817595116566996
4,8,"historical_benchmark",343,138,37,15,TRUE,5,0.0415943331458028,0.990158917856985
4,8,"primary_modern",343,138,37,15,TRUE,5,0.0281231331451993,0.97790618754823
4,8,"nonlinear_psa",343,138,37,15,TRUE,6,0.0215653888039384,0.986539214000715
4,9,"historical_benchmark",343,138,37,15,TRUE,5,0.019976716189015,0.874629243741109
4,9,"primary_modern",343,138,37,15,TRUE,5,0.0252901087553295,0.862180564331121
4,9,"nonlinear_psa",343,138,37,15,TRUE,5,0.020774374629034,0.864409814690613
4,10,"historical_benchmark",343,138,37,15,TRUE,5,0.0404368354251818,0.989075372415974
4,10,"primary_modern",343,138,37,15,TRUE,5,0.0271594069914218,0.965622610565943
4,10,"nonlinear_psa",343,138,37,15,TRUE,5,0.00536234736889884,0.97393055182187
5,1,"historical_benchmark",341,137,39,16,TRUE,5,0.000243832588975393,0.910163132677636
5,1,"primary_modern",341,137,39,16,TRUE,5,0.000335805776706847,0.8666816870159
5,1,"nonlinear_psa",341,137,39,16,TRUE,6,7.9771190370398e-05,0.922242091344265
5,2,"historical_benchmark",341,137,39,16,TRUE,5,0.0384757667774648,0.982846630307661
5,2,"primary_modern",341,137,39,16,TRUE,5,0.0384118016580464,0.956012954832287
5,2,"nonlinear_psa",341,137,39,16,TRUE,5,0.044586698458491,0.950507826392953
5,3,"historical_benchmark",341,137,39,16,TRUE,5,0.0705693880612625,0.918626756095007
5,3,"primary_modern",341,137,39,16,TRUE,5,0.041449361175031,0.930572988031574
5,3,"nonlinear_psa",341,137,39,16,TRUE,6,0.0129202123702104,0.91047715981562
5,4,"historical_benchmark",342,138,38,15,TRUE,5,0.0440602756466839,0.939198032062111
5,4,"primary_modern",342,138,38,15,TRUE,5,0.0478343111239954,0.94545472707404
