"model","repeat_id","metric","estimate"
"historical_benchmark",1,"auc",0.809133051164666
"historical_benchmark",1,"brier",0.172843685501965
"historical_benchmark",1,"log_loss",0.516932626626509
"historical_benchmark",1,"calibration_intercept",-0.00462083416155395
"historical_benchmark",1,"calibration_slope",0.920596590294226
"historical_benchmark",2,"auc",0.805015692033054
"historical_benchmark",2,"brier",0.175883413772202
"historical_benchmark",2,"log_loss",0.528130387747119
"historical_benchmark",2,"calibration_intercept",0.00973734867238454
"historical_benchmark",2,"calibration_slope",0.882059514423579
"historical_benchmark",3,"auc",0.808585989461864
"historical_benchmark",3,"brier",0.17320343406099
"historical_benchmark",3,"log_loss",0.518121011637426
"historical_benchmark",3,"calibration_intercept",-0.00145394910247272
"historical_benchmark",3,"calibration_slope",0.919527396322777
"historical_benchmark",4,"auc",0.813279203017477
"historical_benchmark",4,"brier",0.171461150073906
"historical_benchmark",4,"log_loss",0.51387151991345
"historical_benchmark",4,"calibration_intercept",-0.00259239657944222
"historical_benchmark",4,"calibration_slope",0.947392121318671
"historical_benchmark",5,"auc",0.810054418243068
"historical_benchmark",5,"brier",0.172640854862421
"historical_benchmark",5,"log_loss",0.517546784759543
"historical_benchmark",5,"calibration_intercept",0.000768511070607929
"historical_benchmark",5,"calibration_slope",0.924918418453254
"historical_benchmark",6,"auc",0.812847312199476
"historical_benchmark",6,"brier",0.171048509810193
"historical_benchmark",6,"log_loss",0.513234740562091
"historical_benchmark",6,"calibration_intercept",0.00697368186581969
"historical_benchmark",6,"calibration_slope",0.94873035088476
"historical_benchmark",7,"auc",0.809694509228067
"historical_benchmark",7,"brier",0.173291279185015
"historical_benchmark",7,"log_loss",0.519278966864268
"historical_benchmark",7,"calibration_intercept",-0.00901446366829004
"historical_benchmark",7,"calibration_slope",0.917593575147244
"historical_benchmark",8,"auc",0.807938153234862
"historical_benchmark",8,"brier",0.173625571584778
"historical_benchmark",8,"log_loss",0.520147532200547
"historical_benchmark",8,"calibration_intercept",-0.00660092887222915
"historical_benchmark",8,"calibration_slope",0.901532369662516
"historical_benchmark",9,"auc",0.808211684086263
"historical_benchmark",9,"brier",0.174116891238132
"historical_benchmark",9,"log_loss",0.521423887638301
"historical_benchmark",9,"calibration_intercept",-0.000691072296843612
"historical_benchmark",9,"calibration_slope",0.914514129232003
"historical_benchmark",10,"auc",0.806800840747459
"historical_benchmark",10,"brier",0.174833899384794
"historical_benchmark",10,"log_loss",0.522184507064656
"historical_benchmark",10,"calibration_intercept",-0.00845412571396626
"historical_benchmark",10,"calibration_slope",0.906921146947208
"historical_benchmark",11,"auc",0.807736604186462
"historical_benchmark",11,"brier",0.17361161887222
"historical_benchmark",11,"log_loss",0.519517395018543
"historical_benchmark",11,"calibration_intercept",0.00251474694209099
"historical_benchmark",11,"calibration_slope",0.91935753989269
"historical_benchmark",12,"auc",0.809809680112867
"historical_benchmark",12,"brier",0.172157432816187
"historical_benchmark",12,"log_loss",0.516549428083378
"historical_benchmark",12,"calibration_intercept",-0.00233420035178756
"historical_benchmark",12,"calibration_slope",0.930531643008501
"historical_benchmark",13,"auc",0.809348996573666
"historical_benchmark",13,"brier",0.173121247102264
"historical_benchmark",13,"log_loss",0.517924780693535
"historical_benchmark",13,"calibration_intercept",-0.00822154979394419
"historical_benchmark",13,"calibration_slope",0.930252485558332
"historical_benchmark",14,"auc",0.808859520313265
"historical_benchmark",14,"brier",0.172486367924868
"historical_benchmark",14,"log_loss",0.516906003317425
