"model","term","estimate","std_error","z_value","p_value","wald_ci_lower","wald_ci_upper"
"historical_benchmark","(Intercept)",-8.18352269735847,1.05729342220244,-7.74006772908073,9.93638685019167e-15,-10.2557797259664,-6.11126566875058
"historical_benchmark","factor(dpros)2",0.765611321645102,0.356411000248349,2.14811361352938,0.0317047310141828,0.0670585974644426,1.46416404582576
"historical_benchmark","factor(dpros)3",1.56241425113135,0.371611468182699,4.20442958548094,2.61741404664939e-05,0.834069157251209,2.29075934501149
"historical_benchmark","factor(dpros)4",1.43993797061149,0.449056009238693,3.20658880181268,0.00134318841088163,0.559804365462362,2.32007157576061
"historical_benchmark","psa",0.0280247393206872,0.00938227230684552,2.98698848254913,0.00281740336463525,0.00963582350612248,0.046413655135252
"historical_benchmark","gleason",0.999536539554998,0.161263953735561,6.19813985953755,5.71343613560201e-10,0.683464998228765,1.31560808088123
"primary_modern","(Intercept)",-7.89135292180158,1.5901338064364,-4.9626974094002,6.95208470646701e-07,-11.0079579130165,-4.77474793058666
"primary_modern","age",-0.0117920787462929,0.0192816574748416,-0.611569765808723,0.540822446735462,-0.04958343295922,0.0259992754666342
"primary_modern","factor(dpros)2",0.767727201354492,0.356310372941837,2.15465857762107,0.0311885614886113,0.0693717030704571,1.46608269963853
"primary_modern","factor(dpros)3",1.52690026427686,0.373051245201647,4.0930040682521,4.25820246591512e-05,0.795733259293806,2.2580672692599
"primary_modern","factor(dpros)4",1.4841564392656,0.443377795588841,3.3473855795925,0.000815776565751903,0.615151928366707,2.35316095016449
"primary_modern","log2(psa)",0.3492798104855,0.106177116570785,3.28959592957723,0.00100331349562143,0.141176486024451,0.557383134946549
"primary_modern","gleason",0.962119281403471,0.164874734938942,5.83545612224802,5.36436127258118e-09,0.638970738962557,1.28526782384439
"nonlinear_psa","(Intercept)",-10.7313379431711,2.74519783112978,-3.90913100013438,9.26287262943736e-05,-16.1118268226229,-5.35084906371923
"nonlinear_psa","age",-0.0114796482994281,0.0192515372335936,-0.596297748077817,0.550976335177302,-0.0492119679243035,0.0262526713254472
"nonlinear_psa","factor(dpros)2",0.793786519668821,0.358283499091604,2.21552631277019,0.0267239603318851,0.0915637651942889,1.49600927414335
"nonlinear_psa","factor(dpros)3",1.53419006170553,0.373606089999339,4.1064375093785,4.01808100105941e-05,0.801935580901993,2.26644454250906
"nonlinear_psa","factor(dpros)4",1.4493739919605,0.448267586894611,3.23327859147946,0.0012237815657196,0.570785666210387,2.32796231771062
"nonlinear_psa","splines::ns(log2(psa), df = 3)1",2.09346009643222,1.13843850135094,1.83888729513978,0.0659317648630064,-0.13783836482938,4.32475855769382
"nonlinear_psa","splines::ns(log2(psa), df = 3)2",8.80957429651624,4.741900912177,1.85781492689854,0.063195300649419,-0.484380709608319,18.1035293026408
"nonlinear_psa","splines::ns(log2(psa), df = 3)3",4.23720197395782,1.50633529959786,2.81292085174463,0.00490937334817905,1.28483903810466,7.18956490981098
"nonlinear_psa","gleason",0.968311882075887,0.165390030313542,5.85471736258943,4.77821909564834e-09,0.644153379259357,1.29247038489242
