"model","formula","observations","predictor_parameters","aic","converged","apparent_auc","apparent_brier","apparent_log_loss","apparent_calibration_intercept","apparent_calibration_slope","performance_note"
"historical_benchmark","capsule ~ factor(dpros) + psa + gleason",380,5,394.122518210035,TRUE,0.821816244853301,0.167348060092136,0.502792787118467,5.14861601094315e-10,1.0000000000001,"Apparent full-data performance; cross-validated performance is primary."
"primary_modern","capsule ~ age + factor(dpros) + log2(psa) + gleason",380,6,394.825251426253,TRUE,0.823558204485906,0.166374687321178,0.501085857139807,-1.36527988886569e-14,1.00000000000001,"Apparent full-data performance; cross-validated performance is primary."
"nonlinear_psa","capsule ~ age + factor(dpros) + splines::ns(log2(psa), df = 3) +      gleason",380,8,396.543869214573,TRUE,0.822665630128703,0.165907874246207,0.498084038440227,-8.41055062867147e-16,0.99999999999877,"Apparent full-data performance; cross-validated performance is primary."
